name,city,address,lat,lon,category,description
부산 해운대도서관,부산 해운대구,부산광역시 해운대구 양운로 183,35.1779728,129.1688996,관광지,
부산현대미술관,부산 사하구,부산광역시 사하구 낙동남로 1191,35.1092764,128.9427503,관광지,
요산문학관,부산 금정구,부산광역시 금정구 팔송로 60-6,35.2722691,129.0858235,관광지,
부산시민회관,부산 동구,부산광역시 동구 자성로133번길 16,35.1388958,129.0652205,관광지,
북구문화빙상센터 공연장,부산 북구,부산광역시 북구 금곡대로46번길 50,35.2134491,129.0054681,관광지,
국립부산국악원,부산 부산진구,부산광역시 부산진구 국악로 2,35.1713738,129.0543865,관광지,
근대문화체험관 계산예가,대구 중구,대구광역시 중구 서성로 6-1,35.8672357,128.5878192,관광지,
대구시민안전테마파크,대구 동구,대구광역시 동구 팔공산로 1155,35.9891717,128.691943,관광지,
에코한방웰빙체험관,대구 중구,대구광역시 중구 남성로 24,35.8690398,128.5880628,관광지,
패션주얼리전문타운,대구 중구,대구광역시 중구 경상감영길 176,35.8717688,128.5966973,관광지,
수성아트피아,대구 수성구,대구광역시 수성구 무학로 180,35.8295426,128.628415,관광지,
대구광역시립중앙도서관,대구 중구,대구광역시 중구 공평로10길 25,35.8689974,128.6017305,관광지,
향촌문화관,대구 중구,대구광역시 중구 중앙대로 449,35.8733774,128.5941989,관광지,
대구예술발전소,대구 중구,대구광역시 중구 달성로22길 31-12,35.8755076,128.5845613,관광지,
용문사(대구),대구 달성군,대구광역시 달성군 화원읍 화원휴양림길 132,35.7689163,128.5389836,관광지,
읍내동 마애불상,대구 북구,대구광역시 북구 칠곡중앙대로129길 169-3,35.9637238,128.5434174,관광지,
을왕리해수욕장,인천 중구,인천광역시 중구 을왕로13번길 15,37.4450739,126.372986,관광지,
팔미도등대,인천 중구,인천광역시 중구 팔미로 15,37.3583358,126.5106153,관광지,
서포리해변,인천 옹진군,인천광역시 옹진군 덕적면 덕적남로587번길 15,37.222418,126.1141303,관광지,
카페힐로 서창,인천 남동구,"인천광역시 남동구 서창남로 69, 1층",37.4469893,126.7319416,관광지,
백령도 콩돌해변,인천 옹진군,인천광역시 옹진군 백령면,37.9728415,124.718271,관광지,
송도갈매기 송림,인천 서구,인천광역시 서구 백범로 872,37.4853697,126.6615432,관광지,
월미도,인천 중구,인천광역시 중구 월미문화로 36,37.471318,126.596287,관광지,
서울특별시교육청 정독도서관,서울 종로구,서울특별시 종로구 북촌로5길 48,37.5807856,126.9831611,문화시설,
춘원당한의약박물관,서울 종로구,서울특별시 종로구 돈화문로9길 27,37.5714629,126.9902306,문화시설,
동림매듭박물관,서울 종로구,서울특별시 종로구 북촌로12길 10,37.5817446,126.9856027,문화시설,
북촌문화센터,서울 종로구,서울특별시 종로구 계동길 37,37.5790313,126.9864082,문화시설,
환기미술관,서울 종로구,서울특별시 종로구 자하문로40길 63,37.594224,126.9662,문화시설,
목인박물관 목석원,서울 종로구,서울특별시 종로구 창의문로5길 46-1,37.5889231,126.9632151,문화시설,
도산안창호기념관,서울 강남구,서울특별시 강남구 도산대로45길 20,37.5239121,127.0355914,문화시설,
용산공예관,서울 용산구,서울특별시 용산구 이태원로 274,37.5389612,127.0020591,문화시설,
서대문자연사박물관,서울 서대문구,서울특별시 서대문구 연희로32길 51,37.5766913,126.9378364,문화시설,
매헌 윤봉길의사 기념관,서울 서초구,서울특별시 서초구 매헌로 99,37.4712172,127.0367358,문화시설,
부산 트릭아이뮤지엄,부산 중구,부산광역시 중구 대청로126번길 12,35.101702,129.0337655,문화시설,
복천박물관(부산),부산 동래구,부산광역시 동래구 복천로 63,35.2083599,129.0914505,문화시설,
부산문화회관,부산 남구,부산광역시 남구 유엔평화로76번길 1,35.1271736,129.0939167,문화시설,
유엔평화기념관,부산 남구,부산광역시 남구 홍곡로320번길 106,35.1238395,129.0923986,문화시설,
부산시립미술관,부산 해운대구,부산광역시 해운대구 APEC로 58,35.1650508,129.1347629,문화시설,
국립부산국악원,부산 부산진구,부산광역시 부산진구 국악로 2,35.1713738,129.0543865,문화시설,
북구문화빙상센터 공연장,부산 북구,부산광역시 북구 금곡대로46번길 50,35.2134491,129.0054681,문화시설,
부산시민회관,부산 동구,부산광역시 동구 자성로133번길 16,35.1388958,129.0652205,문화시설,
요산문학관,부산 금정구,부산광역시 금정구 팔송로 60-6,35.2722691,129.0858235,문화시설,
부산 해운대도서관,부산 해운대구,부산광역시 해운대구 양운로 183,35.1779728,129.1688996,문화시설,
대구예술발전소,대구 중구,대구광역시 중구 달성로22길 31-12,35.8755076,128.5845613,문화시설,
향촌문화관,대구 중구,대구광역시 중구 중앙대로 449,35.8733774,128.5941989,문화시설,
대구광역시립중앙도서관,대구 중구,대구광역시 중구 공평로10길 25,35.8689974,128.6017305,문화시설,
수성아트피아,대구 수성구,대구광역시 수성구 무학로 180,35.8295426,128.628415,문화시설,
패션주얼리전문타운,대구 중구,대구광역시 중구 경상감영길 176,35.8717688,128.5966973,문화시설,
에코한방웰빙체험관,대구 중구,대구광역시 중구 남성로 24,35.8690398,128.5880628,문화시설,
근대문화체험관 계산예가,대구 중구,대구광역시 중구 서성로 6-1,35.8672357,128.5878192,문화시설,
팔공문화원,대구 동구,대구광역시 동구 팔공로197길 25,35.9559567,128.6892,문화시설,
"아양아트센터(구, 동구문화체육회관)",대구 동구,대구광역시 동구 효동로2길 24,35.8797836,128.6519603,문화시설,
달성 한일우호관,대구 달성군,대구광역시 달성군 가창면 우록길 206,35.7226391,128.6465416,문화시설,
국립생물자원관,인천 서구,인천광역시 서구 환경로 42,37.5686643,126.6435975,문화시설,
인천 검단선사박물관,인천 서구,인천광역시 서구 고산후로121번길 7,37.594403,126.6986697,문화시설,
청라호수도서관,인천 서구,인천광역시 서구 크리스탈로 59,37.5521188,126.6441068,문화시설,
인천동구청소년수련관,인천 동구,인천광역시 동구 솔빛로 82,37.4760223,126.6425652,문화시설,
인천광역시 여성문화회관,인천 부평구,인천광역시 부평구 길주로 539,37.507813,126.7219616,문화시설,
송암미술관,인천 미추홀구,인천광역시 미추홀구 비류대로55번길 68,37.4342786,126.6420845,문화시설,
인천문화예술회관,인천 남동구,인천광역시 남동구 예술로 149,37.44764,126.7000184,문화시설,
인천수봉문화회관,인천 미추홀구,인천광역시 미추홀구 수봉안길 78,37.4611719,126.6621815,문화시설,
녹청자박물관,인천 서구,인천광역시 서구 도요지로 54,37.5581275,126.6564523,문화시설,
인천상륙작전기념관,인천 연수구,인천광역시 연수구 청량로 138,37.419443,126.6543566,문화시설,
광주문화예술회관,광주 북구,광주광역시 북구 북문대로 60,35.1777124,126.8817023,문화시설,
국립광주과학관,광주 북구,광주광역시 북구 첨단과기로 235,35.2296488,126.8500641,문화시설,
광주시립미술관,광주 북구,광주광역시 북구 하서로 52,35.1808412,126.8824016,문화시설,
광주 송정도서관,광주 광산구,광주광역시 광산구 송정공원로 8-13,35.1453164,126.7996039,문화시설,
광주광역시립산수도서관,광주 동구,광주광역시 동구 경양로 355,35.1543981,126.9284698,문화시설,
광주광역시립무등도서관,광주 북구,광주광역시 북구 면앙로 130,35.1765283,126.9253482,문화시설,
광주광역시립 사직도서관,광주 남구,광주광역시 남구 제중로 56,35.1395202,126.9139332,문화시설,
남도향토음식박물관·호남문화자료전시관,광주 북구,광주광역시 북구 설죽로 477,35.2018013,126.8986726,문화시설,
광주중앙도서관,광주 동구,광주광역시 동구 장동로 23-16,35.1485032,126.9253348,문화시설,
국립광주박물관,광주 북구,광주광역시 북구 하서로 110,35.1887107,126.8835323,문화시설,
유성문화원,대전 유성구,대전광역시 유성구 문화원로 46,36.3598081,127.340868,문화시설,
이응노 미술관,대전 서구,대전광역시 서구 둔산대로 157,36.368147,127.3819873,문화시설,
전통나래관,대전 동구,대전광역시 동구 철갑1길 15,36.3352969,127.4372982,문화시설,
대전 가수원도서관,대전 서구,대전광역시 서구 가수원로 91-11,36.3016338,127.3489369,문화시설,
평송청소년문화센터,대전 서구,대전광역시 서구 둔산대로 201,36.368147,127.3819873,문화시설,
대전 갈마도서관,대전 서구,대전광역시 서구 신갈마로127번길 138,36.3408346,127.3657483,문화시설,
대전시립박물관,대전 유성구,대전광역시 유성구 도안대로 398,36.3400392,127.3389136,문화시설,
대전한밭도서관,대전 중구,대전광역시 중구 서문로 10,36.3098158,127.4096227,문화시설,
대전시립미술관,대전 서구,대전광역시 서구 둔산대로 155,36.366783,127.385739,문화시설,
대전어린이회관,대전 유성구,대전광역시 유성구 월드컵대로 32,36.364793,127.3247552,문화시설,
울산박물관,울산 남구,울산광역시 남구 두왕로 277,35.5271604,129.3086618,문화시설,
가족문화센터,울산 남구,울산광역시 남구 대공원로 84,35.5318053,129.2908947,문화시설,
울주문화예술회관,울산 울주군,울산광역시 울주군 범서읍 천상중앙길 36,35.5644423,129.2320794,문화시설,
현대자동차 문화회관,울산 북구,울산광역시 북구 염포로 601,35.538148,129.3882355,문화시설,
현대예술관,울산 동구,울산광역시 동구 명덕로 10,35.5229511,129.4309727,문화시설,
